[04/11/20 23:38:57] [INFO] received Windows console close event; shutting log-core down
[04/11/20 23:40:29] [INFO] received Windows console close event; shutting log-core down
[04/11/20 23:41:47] [INFO] received Windows console close event; shutting log-core down
[04/11/20 23:46:15] [INFO] received Windows console close event; shutting log-core down
[11/17/20 20:18:04] [INFO] received Windows console close event; shutting log-core down
[11/17/20 20:18:21] [INFO] received Windows console close event; shutting log-core down
[11/17/20 20:18:38] [INFO] received Windows console close event; shutting log-core down
[11/02/21 23:21:55] [INFO] received Windows console close event; shutting log-core down
[11/02/21 23:32:35] [INFO] received Windows console close event; shutting log-core down
[11/05/21 17:41:44] [INFO] received Windows console close event; shutting log-core down
[11/05/21 17:47:42] [INFO] received Windows console close event; shutting log-core down
[11/05/21 17:49:27] [INFO] received Windows console close event; shutting log-core down
[11/05/21 17:55:03] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:00:54] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:05:58] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:15:14] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:25:48] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:26:52] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:28:59] [INFO] received Windows console close event; shutting log-core down
[11/05/21 18:32:10] [INFO] received Windows console close event; shutting log-core down
[09/06/23 02:41:46] [INFO] received Windows console close event; shutting log-core down
